pcap_file,pcap_path,packet_count,icmp_count,arp_count,tcp_count,udp_count,tcp_syn_count,tcp_rst_count,total_bytes,duration_seconds,unique_src_ips,unique_dst_ips,attack_class,attack_type
traffic-20260624-144348.pcap,/home/ubuntu/ML-Network-Intrusion-detection/evidence/pcaps/auto/traffic-20260624-144348.pcap,22,20,2,0,0,0,0,1354,9.126197,2,2,normal,icmp_ping_auto
traffic-20260624-144422.pcap,/home/ubuntu/ML-Network-Intrusion-detection/evidence/pcaps/auto/traffic-20260624-144422.pcap,120,0,0,120,0,10,0,110040,9.183751,2,2,unknown,unlabeled
traffic-20260624-144457.pcap,/home/ubuntu/ML-Network-Intrusion-detection/evidence/pcaps/auto/traffic-20260624-144457.pcap,102,0,0,102,0,50,50,0,0.001957,2,2,reconnaissance,possible_syn_scan
traffic-20260624-144523.pcap,/home/ubuntu/ML-Network-Intrusion-detection/evidence/pcaps/auto/traffic-20260624-144523.pcap,204,0,2,202,0,100,100,74,5.20988,2,2,reconnaissance,possible_syn_scan
traffic-20260624-144548.pcap,/home/ubuntu/ML-Network-Intrusion-detection/evidence/pcaps/auto/traffic-20260624-144548.pcap,22,20,2,0,0,0,0,1354,10.284358,2,2,normal,icmp_ping_auto
traffic-20260624-144622.pcap,/home/ubuntu/ML-Network-Intrusion-detection/evidence/pcaps/auto/traffic-20260624-144622.pcap,120,0,0,120,0,10,0,110040,9.188252,2,2,unknown,unlabeled
traffic-20260624-144657.pcap,/home/ubuntu/ML-Network-Intrusion-detection/evidence/pcaps/auto/traffic-20260624-144657.pcap,102,0,0,102,0,50,50,0,0.003657,2,2,reconnaissance,possible_syn_scan
traffic-20260624-144722.pcap,/home/ubuntu/ML-Network-Intrusion-detection/evidence/pcaps/auto/traffic-20260624-144722.pcap,204,0,2,202,0,100,100,74,5.177871,2,2,reconnaissance,possible_syn_scan
traffic-20260624-144747.pcap,/home/ubuntu/ML-Network-Intrusion-detection/evidence/pcaps/auto/traffic-20260624-144747.pcap,22,20,2,0,0,0,0,1354,9.2253,2,2,normal,icmp_ping_auto
traffic-20260624-144822.pcap,/home/ubuntu/ML-Network-Intrusion-detection/evidence/pcaps/auto/traffic-20260624-144822.pcap,120,0,0,120,0,10,0,110040,9.187215,2,2,unknown,unlabeled
traffic-20260624-144857.pcap,/home/ubuntu/ML-Network-Intrusion-detection/evidence/pcaps/auto/traffic-20260624-144857.pcap,104,0,2,102,0,50,50,74,5.241699,2,2,reconnaissance,possible_syn_scan
